Date,Actual,ARIMA_Pred,Prophet_Pred,LSTM_Pred
2024-12-03,96002.1640625,67268.96642471604,48131.56592193512,91810.54
2024-12-04,98768.53125,67268.96642471604,48101.658980036496,90024.2
2024-12-05,96593.5703125,67268.96642471604,48086.09209423245,92200.26
2024-12-06,99920.7109375,67268.96642471604,48083.2294969888,93322.43
2024-12-07,99923.3359375,67268.96642471604,48051.41311469526,94316.266
2024-12-08,101236.015625,67268.96642471604,48132.111421678776,94414.87
2024-12-09,97432.71875,67268.96642471604,48055.30845200648,95908.65
2024-12-10,96675.4296875,67268.96642471604,48078.564005989545,97667.375
2024-12-11,101173.03125,67268.96642471604,48099.61534780537,98230.57
2024-12-12,100043.0,67268.96642471604,48128.99187104859,94302.79
2024-12-13,101459.2578125,67268.96642471604,48164.72583835092,90634.11
2024-12-14,101372.96875,67268.96642471604,48165.01218135243,89826.98
2024-12-15,104298.6953125,67268.96642471604,48271.35087771596,90240.97
2024-12-16,106029.71875,67268.96642471604,48213.92489527856,89682.984
2024-12-17,106140.6015625,67268.96642471604,48250.64524105289,89092.98
2024-12-18,100041.5390625,67268.96642471604,48279.734015818016,91193.03
2024-12-19,97490.953125,67268.96642471604,48312.3176381171,92881.14
2024-12-20,97755.9296875,67268.96642471604,48347.11409057209,91161.664
2024-12-21,97224.7265625,67268.96642471604,48343.06795714668,88723.87
2024-12-22,95104.9375,67268.96642471604,48442.46756120818,88259.94
2024-12-23,94686.2421875,67268.96642471604,48376.297973909874,87735.11
2024-12-24,98676.09375,67268.96642471604,48403.26217274109,87157.99
2024-12-25,99299.1953125,67268.96642471604,48422.34193388894,87433.49
2024-12-26,95795.515625,67268.96642471604,48445.3712263414,88318.914
2024-12-27,94164.859375,67268.96642471604,48471.70646921957,90189.586
2024-12-28,95163.9296875,67268.96642471604,48460.84782067884,91688.266
2024-12-29,93530.2265625,67268.96642471604,48555.546089411306,92019.64
2024-12-30,92643.2109375,67268.96642471604,48487.149195222446,91735.64
2024-12-31,93429.203125,67268.96642471604,48514.62048961571,93640.26
2025-01-01,94419.7578125,67268.96642471604,48537.100427667516,91654.01
2025-01-02,96886.875,67268.96642471604,48566.484149634925,89054.07
2025-01-03,98107.4296875,67268.96642471604,48602.099017118766,86621.6
2025-01-04,98236.2265625,67268.96642471604,48603.33586154562,87268.27
2025-01-05,98314.9609375,67268.96642471604,48712.768047514546,88359.29
2025-01-06,102078.0859375,67268.96642471604,48661.51172941202,88911.3
2025-01-07,96922.703125,67268.96642471604,48708.2590244436,88934.63
2025-01-08,95043.5234375,67268.96642471604,48751.85498677859,89898.516
2025-01-09,92484.0390625,67268.96642471604,48803.89033696839,92716.73
2025-01-10,94701.453125,67268.96642471604,48863.39341026793,93530.8
2025-01-11,94566.59375,67268.96642471604,48889.47454311035,95991.164
2025-01-12,94488.4375,67268.96642471604,49024.45652243443,96875.33
2025-01-13,94516.5234375,67268.96642471604,48999.244074713475,94614.305
2025-01-14,96534.046875,67268.96642471604,49072.36380546549,93696.48
2025-01-15,100504.4921875,67268.96642471604,49142.54526047658,96289.21
2025-01-16,99756.90625,67268.96642471604,49221.314954591144,96532.85
2025-01-17,104462.0390625,67268.96642471604,49307.68683116959,96275.8
2025-01-18,104408.0703125,67268.96642471604,49360.80247764154,96530.66
2025-01-19,101089.609375,67268.96642471604,49523.054930018414,96674.37
2025-01-20,102016.6640625,67268.96642471604,49525.44934518616,95496.0
2025-01-21,106146.265625,67268.96642471604,49626.63233622864,94524.42
2025-01-22,103653.0703125,67268.96642471604,49725.46109482082,93897.31
2025-01-23,103960.171875,67268.96642471604,49833.584651315476,95322.1
2025-01-24,104819.484375,67268.96642471604,49950.121274167206,96936.48
2025-01-25,104714.6484375,67268.96642471604,50034.28588717086,96014.22
2025-01-26,102682.5,67268.96642471604,50228.50188511772,94007.04
2025-01-27,102087.6875,67268.96642471604,50263.75114953187,91367.66
2025-01-28,101332.4765625,67268.96642471604,50398.594538856414,92681.86
2025-01-29,103703.2109375,67268.96642471604,50531.73439519176,92104.836
2025-01-30,104735.3046875,67268.96642471604,50674.59175988409,90852.36
2025-01-31,102405.0234375,67268.96642471604,50825.982552110065,90246.18
2025-02-01,100655.90625,67268.96642471604,50944.74674243884,90190.73
2025-02-02,97688.9765625,67268.96642471604,51172.86494999392,90319.53
2025-02-03,101405.421875,67268.96642471604,51240.816204401606,90417.51
2025-02-04,97871.8203125,67268.96642471604,51406.6089786373,90955.85
2025-02-05,96615.4453125,67268.96642471604,51568.356763119446,90198.62
2025-02-06,96593.296875,67268.96642471604,51736.87050596085,90848.88
